encodeID	biosample_term_name	biosample_type	biosample_term_id	filename	url	encode_url
ENCFF386TOZ	heart_left_ventricle	tissue	UBERON:0002084	LEFT_VENTRICLE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/LEFT_VENTRICLE.bed.gz	https://www.encodeproject.org/files/ENCFF386TOZ/@@download/ENCFF386TOZ.bed.gz
ENCFF837JQS	neuronal_stem_cell	in_vitro_differentiated_cells	CL:0000047	H9_DERIVED_NEURONAL_PROGENITOR_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/H9_DERIVED_NEURONAL_PROGENITOR_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF837JQS/@@download/ENCFF837JQS.bed.gz
ENCFF095SYK	ectodermal_cell	in_vitro_differentiated_cells	CL:0000221	HESC_DERIVED_CD56+_ECTODERM_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HESC_DERIVED_CD56+_ECTODERM_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF095SYK/@@download/ENCFF095SYK.bed.gz
ENCFF530JRB	heart	tissue	UBERON:0000948	FETAL_HEART.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_HEART.bed.gz	https://www.encodeproject.org/files/ENCFF530JRB/@@download/ENCFF530JRB.bed.gz
ENCFF568YLW	epithelial_cell_of_proximal_tubule	primary_cell	CL:0002306	RPTEC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/RPTEC.bed.gz	https://www.encodeproject.org/files/ENCFF568YLW/@@download/ENCFF568YLW.bed.gz
ENCFF264CGM	common_myeloid_progenitor,_CD34-positive	primary_cell	CL:0001059	MOBILIZED_CD34_PRIMARY_CELLS_FEMALE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/MOBILIZED_CD34_PRIMARY_CELLS_FEMALE.bed.gz	https://www.encodeproject.org/files/ENCFF264CGM/@@download/ENCFF264CGM.bed.gz
ENCFF262NAK	stomach_smooth_muscle	tissue	UBERON:0004222	STOMACH_SMOOTH_MUSCLE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/STOMACH_SMOOTH_MUSCLE.bed.gz	https://www.encodeproject.org/files/ENCFF262NAK/@@download/ENCFF262NAK.bed.gz
ENCFF603ZFR	adipocyte	in_vitro_differentiated_cells	CL:0000136	MESENCHYMAL_STEM_CELL_DERIVED_ADIPOCYTE_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/MESENCHYMAL_STEM_CELL_DERIVED_ADIPOCYTE_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF603ZFR/@@download/ENCFF603ZFR.bed.gz
ENCFF724TKQ	thymus	tissue	UBERON:0002370	THYMUS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/THYMUS.bed.gz	https://www.encodeproject.org/files/ENCFF724TKQ/@@download/ENCFF724TKQ.bed.gz
ENCFF773FCZ	large_intestine	tissue	UBERON:0000059	FETAL_INTESTINE_LARGE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_INTESTINE_LARGE.bed.gz	https://www.encodeproject.org/files/ENCFF773FCZ/@@download/ENCFF773FCZ.bed.gz
ENCFF377YLU	GM12892	cell_line	EFO:0002786	GM12892.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/GM12892.bed.gz	https://www.encodeproject.org/files/ENCFF377YLU/@@download/ENCFF377YLU.bed.gz
ENCFF810FXS	skeletal_muscle_tissue	tissue	UBERON:0001134	SKELETAL_MUSCLE_MALE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SKELETAL_MUSCLE_MALE.bed.gz	https://www.encodeproject.org/files/ENCFF810FXS/@@download/ENCFF810FXS.bed.gz
ENCFF487JVN	skeletal_muscle_tissue	tissue	UBERON:0001134	SKELETAL_MUSCLE_FEMALE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SKELETAL_MUSCLE_FEMALE.bed.gz	https://www.encodeproject.org/files/ENCFF487JVN/@@download/ENCFF487JVN.bed.gz
ENCFF589ISM	brain	tissue	UBERON:0000955	FETAL_BRAIN_FEMALE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_BRAIN_FEMALE.bed.gz	https://www.encodeproject.org/files/ENCFF589ISM/@@download/ENCFF589ISM.bed.gz
